job Title,adresse company,time,Domaine,Fonction,Contrat,Entreprise,salaire,Niveau_etude
Graphic Désigner,Agadir,27 Déc  13:45,N/A,N/A,N/A,N/A,N/A,N/A
Commerciale d'un ERP,Casablanca,26 Déc  14:25,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial IT/Agence Com,Contrat : CDI,Entreprise : RYSASOFT,Salaire : A discuter,Niveau d'études : Bac plus 5
Commerciale de logiciel et service IT,Casablanca,25 Déc  18:52,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial/Technico-Commercial,Contrat : CDI,Entreprise : RYSASOFT,Salaire : A discuter,Niveau d'études : Bac plus 2
Support it,Fès,25 Déc  17:20,N/A,N/A,N/A,N/A,N/A,N/A
IT Specialist,Casablanca,25 Déc  10:28,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes d'Information,Contrat : CDI,Entreprise : Multinationale,Salaire : A discuter,Niveau d'études : Bac plus 5
COMMUNITY MANAGER,Casablanca,23 Déc  20:55,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial IT/Agence Com,Contrat : A discuter,Entreprise : RTM,Salaire : A discuter,Niveau d'études : Bac plus 2
Technicien réseaux informatique,Tout le Maroc,23 Déc  15:37,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,Contrat : A discuter,Entreprise : MS,Salaire : A discuter,Niveau d'études : Pas important
Stagiaire Commercial Téléphonique,Agadir,23 Déc  10:07,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial IT/Agence Com,Contrat : Stage,Entreprise : Technopek,Salaire : A discuter,Niveau d'études : Bac plus 2
Chargée commerciale B TO B,Rabat,21 Déc  18:50,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial professionnels (B2B),Contrat : A discuter,Entreprise : IT,Salaire : A discuter,Niveau d'études : Bac plus 5
Technicien système &réseau 5ans d expérience,Rabat,21 Déc  18:42,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,Contrat : A discuter,Entreprise : IT,Salaire : A discuter,Niveau d'études : Bac plus 2
STAGIAIRE ASSITANTE,Rabat,21 Déc  18:42,Domaine : Informatique / Multimédia / Internet,Fonction : Assistant/Ventes/Accueil,Contrat : Stage,Entreprise : IT,Salaire : A discuter,Niveau d'études : Bac plus 2
Stagiaire Video Editor/Videography,Agadir,18 Déc  17:05,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial IT/Agence Com,Contrat : Stage,Entreprise : Technopek,Salaire : A discuter,Niveau d'études : Bac plus 2
Stage Pfe IT Tanger,Tanger,18 Déc  16:18,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Développement,Contrat : Stage,Entreprise : SmartSource,Salaire : A discuter,Niveau d'études : Bac plus 3
ADS Manager,Agadir,16 Déc  11:49,N/A,N/A,N/A,N/A,N/A,N/A
Offre de stage Assistante & community manager,Agadir,16 Déc  11:49,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial IT/Agence Com,Contrat : Stage,Entreprise : Technopek,Salaire : A discuter,Niveau d'études : Bac plus 2
IT Support Specialist,Tanger,15 Déc  20:18,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Développement,Contrat : CDI,Entreprise : Relentia,Salaire : 3 000 - 4 000 DH,Niveau d'études : Bac plus 3
Webmaster & social media manager,Marrakech,15 Déc  11:12,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Webdesign/Infographie,Contrat : CDI,Entreprise : Wellhadar,Salaire : 6 000 - 8 000 DH,Niveau d'études : Pas important
Assistante de formation enligne à Safi,Safi,14 Déc  08:47,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial IT/Agence Com,Contrat : A discuter,Entreprise : HUBSPOT,Salaire : A discuter,Niveau d'études : Bac plus 2
Stagiaire Video Editor/Videography,Agadir,12 Déc  09:31,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial IT/Agence Com,Contrat : Stage,Entreprise : Technopek,Salaire : A discuter,Niveau d'études : Bac plus 2
Technicien réseau informatique,Mohammedia,11 Déc  10:21,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,Contrat : CDI,Entreprise : JMARA CONSULT,Salaire : A discuter,Niveau d'études : Bac plus 2
Technicien Système& réseau informatique/ 5ans expé,Rabat,11 Déc  09:24,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,Contrat : A discuter,Entreprise : hws,Salaire : A discuter,Niveau d'études : Bac plus 2
Développeur PHP7 / Symfony4,Marrakech,08 Déc  14:50,N/A,N/A,N/A,N/A,N/A,N/A
Stage Préembauche CHef de projet Junior,Casablanca,07 Déc  14:05,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Développement Hardware,Contrat : CDI,Entreprise : Soldat,Salaire : A discuter,Niveau d'études : Bac plus 5
Technicien réseau informatique,Casablanca,05 Déc  12:58,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,Contrat : CDI,Entreprise : Ste informatique,Salaire : A discuter,Niveau d'études : Bac plus 2
